RLOI_ID|Value|Units|Location (Longtitude| Latitude)|ThresholdComment|Short Name|Description|Type|ObsFloodYear|ObsFloodMonth|Source
5126|2.5|mALD|-2.756341|54.27793|Road floods just downstream of High Riverside at the junction|Flooding on High Riverside junction|Flooding to roads downstream of High Riverside at junction|Road Impact|||Flood Resiliance
5160|1.8|mALD|-2.96961|54.26904|Swan Hotel Car Park floods|Property flooding Newby Bridge|Flooding to property at Newby Bridge|Property Impact|||Flood Resiliance
5047|1.95|mALD|-3.52876|54.481014|Flooding threshold for Mill Cottage without their defences in place|Property flooding Egremont|Flooding to property at Egremont if defence not in place|Property Impact|||Flood Resiliance
5178|2|mALD|-3.138058|54.560782|Campsite flooded|Property flooding Lodore|Flooding to property at Lodore|Property Impact|||Flood Resiliance
5060|4.75|mALD|-3.142421|54.605627|Crosthwaite Road, High Hill and Southey Hill defences overtop|Defence at Crossthwaite Road|Flood defences at Crossthwaite Road overtop|Defence Impact|||Flood Resiliance
5060|4.75|mALD|-3.14359|54.604077|Crosthwaite Road, High Hill and Southey Hill defences overtop|Defence at High Hill|Flood defences at High Hill overtop|Defence Impact|||Flood Resiliance
5060|4.75|mALD|-3.134564|-3.134564|Crosthwaite Road, High Hill and Southey Hill defences overtop|Defence at Southey Hill|Flood defences at Southey Hill overtop|Defence Impact|||Flood Resiliance
5175|2.83|mALD|-3.14988|54.601106|Onset of flooding to Campsite from River Greta|Property flooding Keswick|Flooding to campsite at Keswick|Property Impact|||Flood Resiliance
5129|1.59|mALD|-3.348721|54.64282|Bank full at gauging station. On road at Southwaite Mill|Flooding to roads at Southwaite Mill|Flooding on road at Southwaite Mill|Road Impact|||Flood Resiliance
5128|2.9|mALD|-3.362903|54.662327|Water overtopped into Market St (Arches) car park at this level in Nov 2009, adjacent to South St Ftbr|Flooding to Market Street car park|Flooding at Market St (Arches) carpark|Location Impact|2009|November|Flood Resiliance
5181|2.65|mALD|-3.366292|54.664399|Waterloo Street Floodgate sill level|Defence to Waterloo Street|Flooding up to sill level of Waterloo Street floodgate|Defence Impact|||Flood Resiliance
5221|1.97|mALD|-3.162959|54.828128|Top of bank - flooding to Station Rd possible|Flooding to Station Road|Flooding to Station Road possible|Road Impact|||Flood Resiliance
5059|2.95|mALD|-2.489724|54.578693|Flooding will start at Appleby NC1A|Flooding at Appleby|Flooding commences at Appleby (flood warning area NC1A)|Location Impact|||Flood Resiliance
5059|3.49|mALD|-2.489724|54.578693|Flooding will start at Appleby NC1B|Flooding at Appleby|Flooding commences at Appleby (flood warning area NC1B)|Location Impact|||Flood Resiliance
5005|3.4|mALD|-2.489959|54.579214|A66 Threshold at Grapes Hotel, The Sands.|Flooding on A66|Flooding on the A66 at Grapes Hotel, The Sands|Road Impact|||Flood Resiliance
5005|4.6|mALD|-2.489272|54.578238|Soffit at St Lawrence's Bridge arch|Flooding to St Lawrence Bridge arch|Flooding up to the soffit of St Lawrence's Bridge arch|Location Impact|||Flood Resiliance
5005|3.8|mALD|-2.493858|54.578892|Chapel St possible SW or defence leakage flooding|Flooding at Chapel Street|Flooding to Chapel Street possible|Road Impact|||Flood Resiliance
5005|3.3|mALD|-2.491552|54.575437|Doomgate Beck surcharge|Flooding at Doomgate Beck|Flood surcharge at Doomgate Beck|Defence Impact|||Flood Resiliance
5005|3.6|mALD|-2.490911|54.578159|King George Field gates threshold|Flooding at King George field|Flood gates threshold at King George field|Defence Impact|||Flood Resiliance
5005|3.3|mALD|-2.493429|54.579432|Swimming pool fire exit threshold.|Flooding at leisure centre|Flooding at fire exit of leisure centre|Location Impact|||Flood Resiliance
5005|3.2|mALD|-2.488377|54.577607|Threshold of the pavement at café on The Sands.|Flooding to pavement at The Sands|Flooding to the pavement at the café on The Sanda|Location Impact|||Flood Resiliance
5005|3.1|mALD|-2.488377|54.577607|The Sands initial flood level, road.|Flooding to roads at The Sands|Flooding to roads at The Sands|Road Impact|||Flood Resiliance
5206|2.6|mALD|-2.832378|54.611186|A592 Waterfoot Junction starts to flood.|Flooding on A592|Flooding at A592 Waterfoot juntion|Road Impact|||Flood Resiliance
5168|1.35|mALD|-2.832378|54.611186|A592 Waterfoot Junction floods|Flooding on A592|Flooding at A592 Waterfoot juntion|Road Impact|||Flood Resiliance
5081|3.78|mALD|-2.912729|54.89647|If level attained CUFC Brunton Park car park will already be under water|Flooding to Carlisle United car park|Flooding at Carlisle United football club car park|Location Impact|||Flood Resiliance
5081|3.905|mALD|-2.867756|54.925664|Properties start to flood in Low Crosby|Property flooding Low Crosby|Flooding to properties in Low Crosby|Property Impact|||Flood Resiliance
5171|7.3|mALD|-2.934465|54.899787|Sands Centre gate sill level|Defence at Sands Centre|Flooding to gate sill level at Sands Centre|Defence Impact|||Flood Resiliance
5171|6.5|mALD|-2.932888|54.89996|Swifts Car Park Level|Flooding at Swifts car park|Flooding at Swifts car park|Location Impact|||Flood Resiliance
5171|7.1|mALD|-2.932888|54.89996|Swifts Car Park Floodgate Sill Level|Defence at Swifts car park|Flloding to floodgate sill level at Swifts car park|Defence Impact|||Flood Resiliance
5172|2.6|mALD|-2.913719|54.889857|Soffit of Footbridge. Flooding of Melbourne Park|Flooding at footbridge|Flooding up to soffit of footbridge|Location Impact|||Flood Resiliance
