RLOI ID|Value|Units|Longtitude| Latitude|Threshold Comment|Short Name|Description|Type|ObsFloodYear|ObsFloodMonth|Source
2001|5.65|mALD|-2.312628|52.376453|Beales Corner barrier overtops|Defence at Beales Corner|Overtopping at Beales Corner barrier|Defence Impact|||Flood Resiliance
2001|6.25|mALD|-2.314907|52.37677|Top of defences on Severnside South|Defence at Severnside North|Water at top of defences on Severnside North|Defence Impact|||Flood Resiliance
2001|6.5|mALD|-2.313241|52.375742|Top of defences on Severnside North|Defence at Severnside South|Water at top of defences on Severnside South|Defence Impact|||Flood Resiliance
2001|4|mALD|-2.315912|52.377263|Flooding across B4195 (Stourport Rd), Dog Lane, Bewdley.|Flooding at Dog Lane|Flooding at Dog Lane, Bewdley.|Road Impact|||Flood Resiliance
2001|4|mALD|-2.301923|52.363894|Flooding across B4195 (Stourport Rd), Dog Lane, Bewdley.|Flooding on B4195|Flooding on B4195 (Stourport Rd) , Bewdley.|Road Impact|||
2001|4|mALD|-2.285608|52.338252|Riverside path, Stourport flooded. Severnside IPP|Flooding on Riverside path|Flooding to Riverside path, Stourport|Road Impact|||Flood Resiliance
2001|4|mALD|-2.277664|52.341712|Riverside path, Stourport flooded. Severnside IPP|Flooding at Stourport|Flooding at Stourport|Location Impact|||Flood Resiliance
2001|4.2|mALD|-2.267929|52.327387|Stourport Marina & Severn Motor Yacht  entrance road floods  and Riverlands begin to be affected|Flooding to roads at Marina|Flooding on entrance roads to Stourport Marina & Severn Motor Yacht|Road Impact|||Flood Resiliance
2001|4.3|mALD|-2.312628|52.376453|3 Beales Corner, Lax Lane, Severnside South|Property flooding Beales Corner|Flooding to property at Beales Corner|Property Impact|||Flood Resiliance
2001|4.3|mALD|-2.311302|52.374374|3 Beales Corner, Lax Lane, Severnside South|Property flooding Lax Lane|Flooding to property at Lax Lane|Property Impact|||
2001|4.3|mALD|-2.313241|52.375742|3 Beales Corner, Lax Lane, Severnside South|Property flooding Severnside South|Flooding to property at Severnside South|Property Impact|||
2001|4.3|mALD|-2.312449|52.361397|B4194 at Ribbesford -Larford Farm Cottages nr Lincomb (~5)|Flooding on B194|Flooding on B4194 at Ribblesford|Road Impact|||Flood Resiliance
2001|4.4|mALD|-2.312628|52.376453|32 Severnside South. Water touching 1.8m temp barriers at Beales Corner - Stourport Marina|Defence at Beales Corner|Water at top of temporary barriers at Beales Corner, Stourport Marina|Defence Impact|||Flood Resiliance
2001|4.5|mALD|-2.314835|52.377867|Riverside North starts to flood, water across camber of B456 Kidderminster Road|Flooding at Riverside North|Flooding at Riverside North|Location Impact|||Flood Resiliance
2001|4.5|mALD|-2.303626|52.366276|Riverside North starts to flood, water across camber of B456 Kidderminster Road|Flooding on A456|Flooding on A456 Kidderminster Road|Road Impact|||Flood Resiliance
2001|4.6|mALD|-2.314803|52.374358|Road to Manor House starts flooding - Acacia Close, Bewdley affected|Flooding to road to Manor House|Flooding on road to Manor House|Road Impact|||Flood Resiliance
2001|4.6|mALD|-2.308616|52.373435|Road to Manor House starts flooding - Acacia Close, Bewdley affected|Flooding to Acacia Avenue|Flooding on Acacia Avenue, Bewdley|Road Impact|||Flood Resiliance
2001|4.7|mALD|-2.299044|52.343242|Access Road to Lickhill Caravan Park floods. Walkway and gardens flood Severnside, Stourport|Flooding to access roads|Flooding to access Road to Lickhill Caravan Park|Road Impact|||Flood Resiliance
2001|4.7|mALD|-2.279524|52.336448|Access Road to Lickhill Caravan Park floods. Walkway and gardens flood Severnside, Stourport|Flooding to Severnside|Flooding to walkway and gardens at Severnside, Stourport|Location Impact|||Flood Resiliance
2001|4.85|mALD|-2.313241|52.375742|Water at base of Severnside South barrier - Road to Manor House completely cut off|Defence at Severnside South|Water at base of Severnside South barrier|Defence Impact|||Flood Resiliance
2001|4.85|mALD|-2.314803|52.374358|Water at base of Severnside South barrier - Road to Manor House completely cut off|Flooding closes road to Manor House|Flooding closes road to Manor House|Road Impact|||Flood Resiliance
2001|4.9|mALD|-2.276049|52.275795|B4196 Lenchford Hotel. Water half way up Beales barrier 5 props at Severnside and Baldwin Rd Stourport|Flooding on B4196|Flooding on B4196 at Lenchford Hotel|Road Impact|||Flood Resiliance
2001|4.9|mALD|-2.270132|52.342028|B4196 Lenchford Hotel. Water half way up Beales barrier 5 props at Severnside and Baldwin Rd Stourport|Flooding to Baldwin Road|Flooding on Baldwin Road, Stourport|Road Impact|||Flood Resiliance
2001|5|mALD|-2.312055|52.376705|Water spills into Pewterers Alley & properties on Riverside North flooded|Flooding to Pewterers Alley|Flooding at Pewterers Alley|Road Impact|||Flood Resiliance
2001|5|mALD|-2.314835|52.377867|Water spills into Pewterers Alley & properties on Riverside North flooded|Property flooding Riverside North|Flooding to properties on Riverside North|Property Impact|||Flood Resiliance
2001|5.2|mALD|-2.271296|52.32979|Sandy Lane and Broaches Meadow, Stourport;  Stourport to Holt Fleet Road flooded at Lenchford Inn|Flooding to Sandy Lane|Flooding on Sandy Lane|Road Impact|||Flood Resiliance
2001|5.2|mALD|-2.276049|52.275795|Sandy Lane and Broaches Meadow, Stourport;  Stourport to Holt Fleet Road flooded at Lenchford Inn|Flooding on B4196|Flooding on Stourport to Holt Fleet Road at Lenchford Inn|Road Impact|||Flood Resiliance
2002|4.76|mALD|-1.944728|52.088959|Waterside, Evesham defences overtopped (July 2007)|Defence at Waterside|Overtopping of defences at Waterside, Evesham|Defence Impact|2007|July|Flood Resiliance
2002|3.15|mALD|-1.952038|52.086098|Pershore Bridge starts to flood|Flooding to Pershore Bridge|Flooding at Pershore Bridge|Location Impact|||Flood Resiliance
2002|4.5|mALD|-1.941733|52.091184|Port Street impassable. Extensive numbers of properties in Evesham. Model data.|Flooding to Port Street|Flooding on Port Street makes it impassible|Road Impact|||Flood Resiliance
2002|4.5|mALD|-1.947453|52.092612|Port Street impassable. Extensive numbers of properties in Evesham. Model data.|Property flooding Evesham|Flooding to properties at Evesham|Property Impact|||Flood Resiliance
2002|2.9|mALD|-1.94655|52.087705|Waterside road & Car Park on the Meadow Evesham starts to flood. Weir Meadow Caravan Park flooded.|Flooding to Waterside|Flooding on Waterside and car park at Meadow Evesham|Road Impact|||Flood Resiliance
2002|3.05|mALD|-2.073041|52.109041|Riverside Caravan Park, Eckington|Property flooding Eckington|Flooding to property at Eckington|Property Impact|||Flood Resiliance
2002|3.1|mALD|-1.94655|52.087705|Waterside road floods. Wyre Piddle caravan site access compromised (Church Street)|Flooding to Waterside|Flooding on Waterside, Evesham|Road Impact|||Flood Resiliance
2002|3.1|mALD|-2.055455|52.1247|Waterside road floods. Wyre Piddle caravan site access compromised (Church Street)|Flooding to Church Street|Flooding on Church Street prevents access to Wyre Piddle caravan site|Road Impact|||Flood Resiliance
2002|3.45|mALD|-1.952038|52.086098|Pershore Bridge Road closure. Water on base of Waterside private defences|Flooding to Pershore Bridge|Flooding at Pershore Road bridge closes road|Road Impact|||Flood Resiliance
2004|6.45|mALD|-2.947672|52.747422|Pentre (Buckley Farm) argae overtops|Defence at Buckley Farm|Overtopping at Buckley Farm, Pentre defences|Defence Impact|||Flood Resiliance
2004|6.9|mALD|-2.842884|52.732716|B4380 at Montford Bridge starts to flood|Flooding on B4380|Flooding on B4380 at Montford Bridge|Road Impact|||Flood Resiliance
2004|6.1|mALD|-2.842884|52.732716|First property at Montford Bridge floods|Property flooding Montford Bridge|Flooding to property at Montford Bridge|Property Impact|||Flood Resiliance
2005|5|mALD|-2.593694|52.311194|A4112 Market Street/Teme Street at Tenbury Wells. A443 at Eastham Mill property at Eardiston|Flooding on Market/Teme Street|Flooding on Market Street/Teme Street at Tenbury|Road Impact|||Flood Resiliance
2005|5|mALD|-2.447537|52.312239|A4112 Market Street/Teme Street at Tenbury Wells. A443 at Eastham Mill property at Eardiston|Flooding on A443|Flooding on A443 at Eastham Mill, Eardiston|Road Impact|||Flood Resiliance
2005|5.1|mALD|-2.594638|52.313608|Bridge Hotel car park|Flooding on Bridge Hotel car park|Flooding at Bridge Hotel car park|Location Impact|||Flood Resiliance
2005|5.3|mALD|-2.593541|52.310973|B4204 in Tenbury Wells|Flooding on B4204|Floding on B4204 at Tenbury Wells|Road Impact|||Flood Resiliance
2005|6|mALD|-2.361638|52.198547|A44 at Broadwas. B4197 at Knightwick. B4024 at Ham Bridge. Minor road at Shelsley Beauchamp.|Flooding on A443|Flooding on A44 at Broadwas|Road Impact|||Flood Resiliance
2005|6|mALD|-2.39125|52.202123|A44 at Broadwas. B4197 at Knightwick. B4024 at Ham Bridge. Minor road at Shelsley Beauchamp.|Flooding on B4197|Flooding on B4197 at Knightwick|Road Impact|||Flood Resiliance
2005|6|mALD|-2.385897|52.247436|A44 at Broadwas. B4197 at Knightwick. B4024 at Ham Bridge. Minor road at Shelsley Beauchamp.|Flooding on B4204|Flooding on B4204 at Ham Bridge|Road Impact|||Flood Resiliance
2005|6|mALD|-2.397764|52.260015|A44 at Broadwas. B4197 at Knightwick. B4024 at Ham Bridge. Minor road at Shelsley Beauchamp.|Flooding at Shelsey Beauchamp|Flooding to minor roads at Shelsley Beauchamp|Road Impact|||Flood Resiliance
2016|1.9|mALD|-2.356167|52.558441|"6 bungalows in Mill Close, Lower Hall and Mill
Cottage in Worfield impacted"|Property flooding Mill Close|Flooding to properties in Mill Close, Worfield|Property Impact|||Flood Resiliance
2016|1.9|mALD|-2.355668|52.555223|"6 bungalows in Mill Close, Lower Hall and Mill
Cottage in Worfield impacted"|Property flooding Lower Hall|Flooding to properties Lower Hall|Property Impact|||Flood Resiliance
