id,name,stationId,order
alconbury-brook,Alconbury Brook,6075,1
alconbury-brook,Alconbury Brook,6161,2
alconbury-brook,Alconbury Brook,6150,3
aldford-brook,Aldford Brook,4174,1
alwen,Alwen,4166,1
amwell-loop,Amwell Loop,9047,1
ash-brook,Ash Brook,2199,1
alyn,Alyn,4186,1
alyn,Alyn,4242,2
alyn,Alyn,4243,3
alyn,Alyn,4182,4
alyn,Alyn,4244,5
badsey-brook,Badsey Brook,2015,1
barton-haven,Barton Haven,6242,1
barnham-rife,Barnham Rife,9251,1
babingley-river,Babingley River,6248,1
bin-brook,Bin Brook,6246,1
bourn-brook,Bourn Brook,6262,1
bourn-brook,Bourn Brook,6197,2
clipstone-brook,Clipstone Brook,6156,1
river-crake,River Crake,5165,1
river-crake,River Crake,5092,2
heacham-river,Heacham River,6268,1
river-little-ouse,River Little Ouse,6270,1
river-little-ouse,River Little Ouse,6247,2
river-little-ouse,River Little Ouse,6257,3
twin,Twin,6263,1
river-cam-cambridgeshire,River Cam,6189,1
river-cam-cambridgeshire,River Cam,6190,2
river-cam-cambridgeshire,River Cam,6192,3
river-cam-cambridgeshire,River Cam,6193,4
river-cam-cambridgeshire,River Cam,6198,5
river-rhee,River Rhee,6196,1
river-rhee,River Rhee,6199,2
river-rhee,River Rhee,6191,3
river-flit,River Flit,6077,1
river-granta,River Granta,6074,1
river-granta,River Granta,6194,2
river-granta,River Granta,6195,3
river-great-ouse,River Great Ouse,6158,1
river-great-ouse,River Great Ouse,6183,2
river-great-ouse,River Great Ouse,6159,3
river-great-ouse,River Great Ouse,6274,4
river-great-ouse,River Great Ouse,6185,5
river-great-ouse,River Great Ouse,6163,6
river-great-ouse,River Great Ouse,6387,7
river-great-ouse,River Great Ouse,6162,8
river-great-ouse,River Great Ouse,6276,9
river-great-ouse,River Great Ouse,6166,10
river-great-ouse,River Great Ouse,6167,11
river-great-ouse,River Great Ouse,6168,12
river-great-ouse,River Great Ouse,6291,13
river-great-ouse,River Great Ouse,6169,14
river-great-ouse,River Great Ouse,6289,15
river-great-ouse,River Great Ouse,6171,16
river-great-ouse,River Great Ouse,6172,17
river-great-ouse,River Great Ouse,6173,18
river-great-ouse,River Great Ouse,6174,19
river-great-ouse,River Great Ouse,6078,20
river-great-ouse,River Great Ouse,6264,21
river-great-ouse,River Great Ouse,6175,22
river-great-ouse,River Great Ouse,6176,23
river-great-ouse,River Great Ouse,6177,24
